epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.5284,1.20075,2.47453,1.5413,0.72889,0.13507,0.46162,0.21557,1.3773,2.71095,1.89735,0.000648148,0.000648148,0.000648148
2,108.599,1.30069,2.11076,1.67403,0.50145,0.35616,0.34199,0.1324,1.961,2.88917,2.88695,0.00118465,0.00118465,0.00118465
3,135.119,1.37466,1.96945,1.70821,0.45074,0.38356,0.32468,0.1218,2.02081,3.37363,2.76213,0.00158915,0.00158915,0.00158915
4,161.046,1.32772,1.79185,1.66526,0.31713,0.42466,0.29965,0.13498,1.69171,3.00825,2.29074,0.001406,0.001406,0.001406
5,186.637,1.2989,1.68008,1.62645,0.59396,0.53425,0.49881,0.23578,1.63617,2.19246,2.2804,0.001208,0.001208,0.001208
6,212.564,1.24983,1.49161,1.58871,0.56451,0.55047,0.53387,0.24756,1.87461,1.76224,2.05178,0.00101,0.00101,0.00101
7,239.215,1.1787,1.37446,1.50297,0.71586,0.63014,0.70345,0.40232,1.35925,1.52055,1.69697,0.000812,0.000812,0.000812
8,263.182,1.08292,1.25706,1.44255,0.79327,0.70087,0.78714,0.50387,1.25624,1.22326,1.57868,0.000614,0.000614,0.000614
9,287.589,1.00843,1.13879,1.34943,0.8797,0.77169,0.85495,0.58529,1.0836,1.00037,1.4366,0.000416,0.000416,0.000416
10,313.98,0.94034,1.07363,1.31029,0.85577,0.80822,0.87889,0.62012,1.0161,0.95171,1.38849,0.000218,0.000218,0.000218
